# SwiftEEG raw counts,rate=1000,gain=24,lsb_uv=0.022351742
ts_us,seq,ch1_C4,ch2_P4,ch3_F4,ch4_Oz,ch5_AFz,ch6_F3,ch7_C3,ch8_P3
2103110707,2045437,-4548819,3996311,-5090006,3661581,-6176666,-7440181,-6786334,-6963514
2103110708,2045438,-4545162,3991451,-5087249,3659281,-6173353,-7438339,-6781597,-6958846
2103110709,2045439,-4540156,3985049,-5083642,3655749,-6168772,-7435828,-6775807,-6952482
2103110710,2045440,-4535786,3980322,-5080740,3663735,-6164667,-7433645,-6771671,-6947285
2103110711,2045441,-4533434,3980908,-5079168,3701119,-6162882,-7433467,-6777943,-6949168
2103110712,2045442,-4532512,3982071,-5078486,3723963,-6162299,-7434000,-6787732,-6953432
2103110713,2045443,-4532601,3982509,-5078505,3726343,-6162262,-7434579,-6794128,-6956120
2103110714,2045444,-4533187,3983515,-5078802,3727893,-6162584,-7435159,-6799403,-6958581
2103110715,2045445,-4534422,3985272,-5079609,3729028,-6163521,-7436112,-6804487,-6961418
2103110716,2045446,-4535761,3987166,-5080462,3729321,-6164566,-7437036,-6809211,-6964253
2103110717,2045447,-4537687,3989883,-5081804,3729715,-6166382,-7438311,-6814091,-6967579
2103110718,2045448,-4541341,3994911,-5084388,3731008,-6169932,-7440260,-6819675,-6972474
2103110719,2045449,-4546247,4000196,-5087816,3718953,-6174400,-7442292,-6822732,-6976879
2103188568,2045450,-4550303,4001832,-5090464,3682344,-6177537,-7442802,-6815356,-6975230
2103188569,2045451,-4552969,4003791,-5092375,3670979,-6179775,-7443170,-6808280,-6973632
2103188570,2045452,-4554187,4005038,-5093350,3669613,-6181003,-7443445,-6804089,-6972919
2103188571,2045453,-4554762,4005379,-5093911,3667583,-6181644,-7443621,-6800686,-6972115
2103188572,2045454,-4554159,4004260,-5093508,3665438,-6181039,-7443049,-6797014,-6970401
2103188573,2045455,-4552934,4002338,-5092626,3663723,-6179713,-7442112,-6793241,-6968144
2103188574,2045456,-4551601,4000262,-5091714,3663031,-6178264,-7441189,-6789602,-6965749
2103188575,2045457,-4549706,3997564,-5090369,3662738,-6176362,-7439978,-6785708,-6962785
2103188576,2045458,-4546107,3992773,-5087689,3660778,-6173101,-7438179,-6781016,-6958179
2103188577,2045459,-4541135,3986400,-5084112,3657203,-6168567,-7435712,-6775272,-6951868
2103188578,2045460,-4536809,3981668,-5081228,3664714,-6164501,-7433584,-6771104,-6946685
2103188579,2045461,-4534510,3982265,-5079721,3701775,-6162760,-7433450,-6777287,-6948530
2103188580,2045462,-4533612,3983505,-5079076,3725111,-6162207,-7434027,-6787167,-6952861
2103188581,2045463,-4533425,3983681,-5078827,3727654,-6161911,-7434349,-6793337,-6955285
2103188582,2045464,-4534060,3984719,-5079177,3729113,-6162278,-7434991,-6798675,-6957806
2103188583,2045465,-4535296,3986479,-5079997,3730271,-6163220,-7435956,-6803782,-6960648
2103188584,2045466,-4536834,3988566,-5081062,3730613,-6164469,-7437077,-6808713,-6963684
2103188585,2045467,-4538725,3991234,-5082362,3730988,-6166239,-7438326,-6813572,-6966974
2103188586,2045468,-4542298,3996160,-5084869,3732219,-6169705,-7440214,-6819089,-6971779
2103188587,2045469,-4547266,4001530,-5088354,3720333,-6174229,-7442312,-6822244,-6976270
2103188588,2045470,-4551366,4003220,-5091051,3683834,-6177417,-7442844,-6814934,-6974669
2103188589,2045471,-4554110,4005264,-5093027,3672369,-6179726,-7443269,-6807885,-6973119
2103188590,2045472,-4555332,4006522,-5093994,3671000,-6180944,-7443526,-6803672,-6972403
2103188591,2045473,-4555518,4006469,-5094161,3668944,-6181184,-7443309,-6799870,-6971214
2103188592,2045474,-4555041,4005481,-5093882,3666768,-6180724,-7442872,-6796324,-6969637
2103188593,2045475,-4554049,4003792,-5093229,3665032,-6179647,-7442170,-6792781,-6967617
2103188594,2045476,-4552642,4001658,-5092251,3664260,-6178131,-7441169,-6789066,-6965159
2103188595,2045477,-4550864,3999079,-5091013,3663967,-6176329,-7440062,-6785283,-6962311
2103188596,2045478,-4547366,3994392,-5088424,3662016,-6173159,-7438334,-6780671,-6957792
2103188597,2045479,-4542331,3987963,-5084758,3658418,-6168556,-7435807,-6774869,-6951434
2103188598,2045480,-4537988,3983129,-5081884,3665118,-6164467,-7433638,-6770537,-6946141
2103188599,2045481,-4535564,3983514,-5080259,3701494,-6162589,-7433368,-6776249,-6947668
2103188600,2045482,-4534674,3984863,-5079630,3726041,-6162073,-7433995,-6786279,-6952097
2103188601,2045483,-4534545,3985113,-5079444,3728786,-6161844,-7434387,-6792616,-6954643
2103188602,2045484,-4535145,3986114,-5079769,3730237,-6162171,-7435006,-6797951,-6957146
2103188603,2045485,-4536387,3987879,-5080592,3731456,-6163119,-7435979,-6803077,-6959995
2103188604,2045486,-4537825,3989856,-5081536,3731759,-6164251,-7437003,-6807915,-6962924
2103188605,2045487,-4539727,3992531,-5082862,3732077,-6166035,-7438283,-6812817,-6966250
2103188606,2045488,-4543241,3997408,-5085336,3733403,-6169469,-7440151,-6818329,-6971011
2103188607,2045489,-4548085,4002716,-5088712,3722189,-6173886,-7442166,-6821538,-6975477
2103188608,2045490,-4552461,4004690,-5091682,3685676,-6177341,-7442967,-6814627,-6974219
2103188609,2045491,-4555249,4006726,-5093676,3673634,-6179672,-7443379,-6807484,-6972626
2103188610,2045492,-4556486,4008004,-5094651,3672296,-6180924,-7443650,-6803243,-6971909
2103188611,2045493,-4556683,4007971,-5094819,3670243,-6181183,-7443437,-6799431,-6970716
2103188612,2045494,-4556127,4006899,-5094444,3668095,-6180626,-7442886,-6795780,-6969044
2103188613,2045495,-4555104,4005174,-5093758,3666339,-6179511,-7442147,-6792201,-6966997
2103188614,2045496,-4553790,4003133,-5092872,3665569,-6178086,-7441243,-6788579,-6964622
2103188615,2045497,-4552039,4000594,-5091664,3665309,-6176312,-7440150,-6784799,-6961799
2103188616,2045498,-4548612,3995987,-5089117,3663303,-6173201,-7438467,-6780246,-6957382
2103188617,2045499,-4543657,3989637,-5085502,3659682,-6168686,-7436011,-6774535,-6951102
2103188618,2045500,-4539286,3984694,-5082640,3665703,-6164559,-7433822,-6770023,-6945686
2103188619,2045501,-4536787,3984913,-5080955,3701302,-6162581,-7433456,-6775273,-6946913
2103188620,2045502,-4535790,3986274,-5080236,3727194,-6161981,-7434013,-6785338,-6951344
2103188621,2045503,-4535574,3986465,-5079976,3730153,-6161679,-7434347,-6791691,-6953871
2103188622,2045504,-4536231,3987522,-5080356,3731576,-6162071,-7435034,-6797129,-6956451
2103188623,2045505,-4537326,3989142,-5081036,3732784,-6162877,-7435871,-6802144,-6959172
2103188624,2045506,-4538787,3991142,-5082007,3733176,-6164037,-7436912,-6807020,-6962128
2103188625,2045507,-4540486,3993605,-5083137,3733532,-6165607,-7437999,-6811726,-6965252
2103188626,2045508,-4544057,3998522,-5085679,3734819,-6169081,-7439952,-6817324,-6970078
