# SwiftEEG raw counts,rate=250,gain=24,lsb_uv=0.022351742
ts_us,seq,ch1_C4,ch2_P4,ch3_F4,ch4_Oz,ch5_AFz,ch6_F3,ch7_C3,ch8_P3
2034980693,1977227,20097,3298356,-5358131,3209558,-6588698,-7438671,-7916506,-7663547
2034980694,1977228,22240,3303888,-5359297,3204522,-6590539,-7440098,-7922099,-7667640
2034980695,1977229,19113,3302309,-5359547,3199839,-6591221,-7440852,-7926714,-7670361
2034980696,1977230,10819,3293934,-5359302,3193413,-6591127,-7441253,-7930455,-7672010
2034980697,1977231,-24886,3259103,-5358380,3168258,-6589697,-7440417,-7927789,-7669334
2034980698,1977232,-80420,3214579,-5357030,3132058,-6587187,-7438146,-7915099,-7660904
2034980699,1977233,-99402,3198941,-5355628,3128391,-6584971,-7436281,-7905272,-7654561
2034980700,1977234,-114332,3180483,-5353198,3130185,-6581769,-7434167,-7897172,-7648316
2034980701,1977235,-133254,3155538,-5349764,3131899,-6577350,-7431573,-7888959,-7640891
2034980702,1977236,-149423,3143181,-5346479,3136717,-6572989,-7428931,-7880904,-7633562
2034980703,1977237,-158249,3135397,-5344019,3145561,-6569597,-7426569,-7873416,-7627326
2034980704,1977238,-160594,3131333,-5342876,3156074,-6567765,-7425037,-7867119,-7622981
2034980705,1977239,-158374,3133514,-5342533,3166045,-6567068,-7424208,-7861976,-7620168
2034980706,1977240,-134993,3149988,-5342948,3184389,-6567492,-7424392,-7861612,-7620839
2034980707,1977241,-80672,3185258,-5343956,3220724,-6569197,-7426112,-7872088,-7627987
2034980708,1977242,-58217,3197109,-5345004,3228134,-6570894,-7427795,-7881877,-7634298
2034980709,1977243,-48448,3205631,-5346346,3223729,-6572851,-7429387,-7888855,-7639059
2034980710,1977244,-31767,3224424,-5348555,3220897,-6576111,-7431280,-7895470,-7644478
2034980711,1977245,-10250,3252032,-5352122,3218076,-6581039,-7434007,-7902799,-7651594
2034980712,1977246,8489,3278024,-5355326,3212666,-6585726,-7436624,-7910009,-7658613
2034980713,1977247,19197,3294583,-5357407,3206650,-6589047,-7438676,-7916510,-7664339
2034980714,1977248,21198,3299986,-5358744,3202345,-6591065,-7440266,-7922284,-7668626
2034980715,1977249,18031,3298282,-5359059,3197339,-6591808,-7441081,-7926962,-7671409
2034980716,1977250,9128,3289373,-5358939,3190339,-6591841,-7441577,-7930701,-7673112
2034980717,1977251,-30393,3250881,-5357879,3162298,-6590218,-7440494,-7926925,-7669749
2034980718,1977252,-83760,3208483,-5356499,3128054,-6587692,-7438192,-7914046,-7661269
2034980719,1977253,-100724,3194898,-5355281,3125936,-6585697,-7436558,-7904806,-7655371
2034980720,1977254,-115531,3176629,-5352866,3127634,-6582513,-7434446,-7896823,-7649219
2034980721,1977255,-134426,3153726,-5349387,3129228,-6578054,-7431803,-7888655,-7641815
2034980722,1977256,-150499,3142909,-5346098,3134202,-6573687,-7429156,-7880666,-7634512
2034980723,1977257,-159343,3132550,-5343722,3143053,-6570394,-7426907,-7873324,-7628392
2034980724,1977258,-161784,3128270,-5342545,3153589,-6568532,-7425376,-7867045,-7624051
2034980725,1977259,-159686,3130283,-5342066,3163153,-6567667,-7424390,-7861749,-7621067
2034980726,1977260,-137175,3145878,-5342501,3181183,-6568071,-7424558,-7861224,-7621631
2034980727,1977261,-82923,3181104,-5343653,3217664,-6569953,-7426452,-7871748,-7628891
2034980728,1977262,-59632,3193721,-5344555,3225731,-6571513,-7428017,-7881514,-7635143
2034980729,1977263,-49860,3202151,-5345719,3221323,-6573283,-7429446,-7888350,-7639744
2034980730,1977264,-33247,3220782,-5347936,3218539,-6576540,-7431348,-7895007,-7645161
2034980731,1977265,-11702,3248338,-5351402,3215815,-6581364,-7433974,-7902250,-7652174
2034980732,1977266,7189,3274528,-5354631,3210531,-6586086,-7436614,-7909482,-7659215
2034980733,1977267,18126,3291424,-5356609,3204400,-6589316,-7438557,-7915881,-7664859
2034980734,1977268,20534,3297311,-5357956,3199433,-6591342,-7440148,-7921661,-7669169
2034980735,1977269,17573,3295958,-5358411,3194774,-6592239,-7441103,-7926491,-7672109
2034980736,1977270,9609,3287999,-5358121,3188458,-6592117,-7441450,-7930211,-7673741
2034980737,1977271,-25214,3254107,-5357191,3163966,-6590704,-7440640,-7927763,-7671198
2034980738,1977272,-81116,3209256,-5355970,3127304,-6588324,-7438506,-7915281,-7662929
2034980739,1977273,-100636,3193179,-5354661,3123117,-6586192,-7436711,-7905464,-7656632
2034980740,1977274,-115407,3175064,-5352511,3124912,-6583270,-7434831,-7897609,-7650677
2034980741,1977275,-134291,3152231,-5348965,3126574,-6578754,-7432117,-7889302,-7643166
2034980742,1977276,-150549,3141247,-5345473,3131496,-6574181,-7429292,-7881075,-7635634
2034980743,1977277,-159556,3130638,-5343003,3140361,-6570771,-7426959,-7873604,-7629389
2034980744,1977278,-162200,3126166,-5341716,3150814,-6568803,-7425319,-7867186,-7624901
2034980745,1977279,-159994,3128259,-5341262,3160526,-6567947,-7424360,-7861902,-7621931
2034980746,1977280,-136098,3145189,-5341662,3179705,-6568337,-7424524,-7861604,-7622612
2034980747,1977281,-81715,3180489,-5342654,3216207,-6570059,-7426284,-7872217,-7629827
2034980748,1977282,-59878,3191588,-5343808,3223093,-6571849,-7428064,-7882026,-7636179
2034980749,1977283,-50390,3199737,-5344903,3218644,-6573536,-7429409,-7888730,-7640671
2034980750,1977284,-34045,3217983,-5347132,3215733,-6576804,-7431353,-7895372,-7646076
2034980751,1977285,-12502,3245472,-5350666,3213073,-6581692,-7434056,-7902642,-7653116
2034980752,1977286,6563,3271805,-5353978,3207851,-6586479,-7436751,-7909897,-7660213
2034980753,1977287,17628,3288833,-5356131,3201926,-6589901,-7438853,-7916446,-7666033
2034980754,1977288,19878,3294608,-5357561,3197634,-6592034,-7440539,-7922312,-7670438
2034980755,1977289,16827,3293119,-5357993,3192649,-6592886,-7441444,-7927095,-7673334
2034980756,1977290,8677,3284978,-5357601,3186072,-6592669,-7441686,-7930648,-7674841
2034980757,1977291,-27936,3249355,-5356609,3160106,-6591176,-7440753,-7927677,-7671969
2034980758,1977292,-83004,3205333,-5355283,3124250,-6588696,-7438500,-7914981,-7663577
2034980759,1977293,-101401,3190367,-5353936,3120923,-6586554,-7436701,-7905324,-7657386
2034980760,1977294,-115952,3172503,-5351574,3122732,-6583429,-7434608,-7897299,-7651268
2034980761,1977295,-134778,3149751,-5348157,3124337,-6579045,-7432010,-7889155,-7643917
2034980762,1977296,-151058,3138655,-5344849,3129177,-6574662,-7429384,-7881156,-7636584
2034980763,1977297,-160287,3127903,-5342429,3137884,-6571303,-7427117,-7873751,-7630401
2034980764,1977298,-163121,3123230,-5341182,3148196,-6569356,-7425514,-7867384,-7625939
2034980765,1977299,-161204,3125040,-5340644,3157714,-6568437,-7424490,-7862025,-7622892
2034980766,1977300,-139086,3140562,-5341031,3175567,-6568792,-7424604,-7861354,-7623337
2034980767,1977301,-84646,3179216,-5342029,3212391,-6570511,-7426333,-7871658,-7630406
2034980768,1977302,-61049,3189981,-5343002,3220850,-6572120,-7427952,-7881522,-7636719
2034980769,1977303,-51514,3197306,-5344277,3216401,-6573996,-7429500,-7888487,-7641435
2034980770,1977304,-35256,3215403,-5346424,3213517,-6577169,-7431374,-7895079,-7646749
2034980771,1977305,-13798,3242772,-5349827,3210854,-6581917,-7433942,-7902236,-7653664
2034980772,1977306,5343,3269172,-5353187,3205661,-6586745,-7436672,-7909543,-7660816
2034980773,1977307,16573,3286441,-5355520,3199566,-6590356,-7438952,-7916277,-7666829
2034980774,1977308,19176,3292593,-5356771,3194536,-6592307,-7440443,-7921955,-7671062
